,C,2019-12-03,459939,"TIP49a protein, Arabidopsis",P,504963,0,459939,"TIP49a protein, Arabidopsis",P,504963,EC 3.6.4.-,,
,C,2019-12-03,447819,"ZDHHC7 protein, human",P,554198,0,447819,"ZDHHC7 protein, human",P,554198,EC 2.3.1.-,,
,C,2019-12-03,464939,"Zdhhc16 protein, mouse",P,574329,0,464939,"Zdhhc16 protein, mouse",P,574329,EC 2.3.-,,
,C,2019-12-03,483359,"Zfp364 protein, mouse",P,614930,0,483359,"Zfp364 protein, mouse",P,614930,EC 2.3.2.27,,
,C,2019-12-03,486788,"Zfp472 protein, mouse",P,590036,0,486788,"Zfp472 protein, mouse",P,590036,EC 2.3.2.27,,
,C,2019-12-03,460839,"MT201 antibody, human",P,507109,0,460839,adecatumumab,P,682699,000705ZASD,,
,C,2019-12-03,110275,"horridum toxin, Heloderma horridum",P,654048,0,110275,"horridum toxin, Heloderma horridum",P,654048,EC 3.-,,
,C,2019-12-03,482060,"RIE1 protein, Arabidopsis",P,574637,0,482060,"RIE1 protein, Arabidopsis",P,574637,EC 2.3.2.27,,
,C,2019-12-03,530470,"RNF24 protein, human",P,723434,0,530470,"RNF24 protein, human",P,723434,EC 2.3.2.27,,
,A,2019-12-03,,,,,,642243,Paenibacillus terrigena,P,978772,txid369333,OR,
,A,2019-12-03,,,,,,642244,Paenibacillus terreus,P,978773,txid1387834,OR,
,A,2019-12-03,,,,,,642245,Paenibacillus terrae,P,978774,txid159743,OR,
,A,2019-12-03,,,,,,642246,Paenibacillus telluris,P,978775,txid446370,OR,
,A,2019-12-03,,,,,,642247,Paenibacillus tarimensis,P,978776,txid416012,OR,
,A,2019-12-03,,,,,,642248,Paenibacillus taohuashanense,P,978777,txid1184688,OR,
,A,2019-12-03,,,,,,642249,Paenibacillus taiwanensis,P,978778,txid401638,OR,
,A,2019-12-03,,,,,,642250,Paenibacillus taihuensis,P,978779,txid1156355,OR,
,A,2019-12-03,,,,,,642251,Paenibacillus taichungensis,P,978780,txid484184,OR,
